"CONTEXT (DO NOT MODIFY)","ENGLISH (DO NOT MODIFY)","LOCALIZED (EDIT THIS COLUMN)"
"BulletinInnerContraTut","Correlate discovered weapons and contraband with rulebook entry.","Korelativigu malkovritajn armilojn kaj kontrabandon kun noto en regulolibro."
"BulletinInnerCorrelateTut","Highlight two pieces of discrepant information from INSPECT mode to enable interrogation.","Marku du pecojn da malakordaj informoj de INSPEKTI regximo por sxalti ekzamenadon."
"BulletinInnerPassportTut","Pay attention to passport nationality.","Atentu pasportan naciecon."
"BulletinInnerBoothTut","Arstotzkan<br>Ministry of Admission","Arstotzkia<br>Ministrejo de Enlaso"
"BulletinInnerBoothTut","Inspector's Booth","Budo de Inspektisto"
"BulletinInnerBoothTut","Shutter","Klapo"
"BulletinInnerBoothTut","Counter","Tablo"
"BulletinInnerBoothTut","Rule Book<br>Audio Transcript<br>Bulletin Storage<br>Time &amp; Date","Regulolibro<br>Auxdtransskribo<br>Bultenujo<br>Horo &amp; Dato"
"BulletinInnerGunTut","Weapons Protocol","Protokolo de Armiloj"
"BulletinInnerGunTut","WHEN ALARM SOUNDS","KIAM ALARMILO SONAS"
"BulletinInnerGunTut","Drop key on tumbler to unlock weapon.","Demetu sxlosilon sur seruro por malsxlosi armilon."
"BulletinInnerGunTut","Select gun, aim and fire.","Elektu armilon, celumu kaj pafu."
"BulletinInnerGunTut","Time is short. Act fast.","Tempo estas mallonga.<br>Agu rapide."
"BulletinInnerFilerTut","Passport Confiscation","Pasporto Konfisko"
"BulletinInnerFilerTut","Verify ALTAN resident on id.","Kontrolu ALTANA logxanton sur identigilo."
"BulletinInnerFilerTut","Drop passport in confiscation drawer.","Demetu pasporton en konfiskan tirkeston."
"BulletinInnerFilerTut","If arresting, confiscate before detaining.","Se arestos, konfisku antauxe vi malliberigas."
"BulletinInnerCriminals","Ministry of Justice","Ministrejo de Justeco"
"BulletinInnerCriminals","WANTED CRIMINALS","SERĈATAJ KRIMULOJ"
"BulletinInnerNews","NEWS","NOVAĴOJ"
"BulletinPagesNote","CHECK ALL<br>PAGES","KONTROLU<br>CXIUJN PAGOJN"
"CitationInner","M.O.A. CITATION","M.O.E. IMPUTO"
"DiplomaticAuthInner","Diplomatic<br>Authorization","Diplomata<br>Aprobo"
"DiplomaticAuthInner","This document authorizes named agent as a diplomatic entity of a Council of Nations member state.","Cxi tiu dokumento aprobos nomitan agento kiel diplomata funkciulo de membrosxtato de Konsilio de Nacioj."
"DiplomaticAuthInner","AGENT","AGENTO"
"DiplomaticAuthInner","PASSPORT","PASPORTO"
"DiplomaticAuthInner","Unconditional access to all named Council of Nations member states must be granted upon presentation.","Oni devas aprobi senkondicxan aliron al cxiuj nomitaj membrosxtatoj de Konsilio de Nacioj je prezento."
"DiplomaticAuthInner","This document has no expiry.","Cxi tiu dokumento ne eksvalidigxas."
"DiplomaticAuthInner","COUNCIL OF NATIONS - SEVEN MEMBER FORUM","KONSILIO DE NACIOJ - SEP ANO FORUMO"
"EntryPermitInner","ARSTOTZKA","ARSTOTZKIO"
"EntryPermitInner","Entry Permit","Eniro-Permesilo"
"EntryPermitInner","Conditional entry to the sovereign nation of Arstotzka is hereby granted to","Oni cxi-pere aprobas kondicxan eniron en la sendependan nacion de Arstotzkio al"
"EntryPermitInner","bearing passport number","kiu havas pasporton nombrita"
"EntryPermitInner","Purpose","Celo"
"EntryPermitInner","Duration","Dauxro"
"EntryPermitInner","Enter by","Eniri gxis"
"EntryPermitInner","Ministry of Admission","Ministrejo de Enlaso"
"EntryTicketInner","Arstotzka","Arstotzkio"
"EntryTicketInner","ENTRY TICKET","ENIRO-BILETO"
"EntryTicketInner","VALID ON","VALIDA"
"EzicNoteInnerOpen","READ QUICKLY","LEGU RAPIDE"
"EzicNoteInnerOpen","RETURN TO MESSENGER","REDONU AL MESAĜISTO"
"FamilyPhotoInner","HANG ON WALL","PENDIGU SUR MURO"
"FingerprintsInner","GIVE THIS PAPER TO APPLICANT","DONU CXI TIUN PAPERON AL PETANTO"
"ForgeryFlyerInnerFront","NEED FORGED<br>OBRISTAN DOCS?","CXU FALSITAJ<br>OBRISTIAJ DOKOJ?"
"ForgeryFlyerInnerFront","""It looks so real!""","""Gxi sxajnas tiom reala!"""
"ForgeryFlyerInnerFront","""Approved for entry!""","""Eniro aprobita!"""
"ForgeryFlyerInnerFront","Fair rates!","Justaj tarifoj!"
"ForgeryFlyerInnerFront","No questions asked!","Neniom da demandoj!"
"ForgeryFlyerInnerFront","Fast turnaround!","Rapida respondo!"
"ForgeryFlyerInnerFront","CONDITIONS ON BACK","DETALOJ SUR MALANTAUXO"
"ForgeryFlyerInnerBack","PRICING (EACH)","PREZLISTO"
"ForgeryFlyerInnerBack","Passport *","Pasporto *"
"ForgeryFlyerInnerBack","Entry Ticket","Eniro-Bileto"
"ForgeryFlyerInnerBack","*<br>","*<br>"
"ForgeryFlyerInnerBack","Client must provide existing Obristan passport to be modified with new info","Kliento devas kunporti ekzistan obristian pasporton por modifiado kun novaj informoj."
"ForgeryFlyerInnerBack","Service at border Arstotzka/Obristan","Servo cxe landlimo inter Arstotzkio kaj Obristio"
"ForgeryFlyerInnerBack","Ask for Timofei Wee","Petu Timofei Wee"
"GymFlyerInner","Underweight?Weak?Tired?","Subpeza?Malforta?Laca?"
"GymFlyerInner","JOIN BEST GYM!","BONE
ESTU
NUR!"
"GymFlyerInner","GET BIG TOWN","PLIGRANDLOKO"
"GymFlyerInner","East Grestin","Eosta Grestino"
"HintMissingInner","THIS ENTRANT HAS NO DOCUMENTS","TIU ENIRULO NE HAVAS DOKUMENTOJN"
"HintMissingInner","To proceed, use INSPECT mode to interrogate.","Por procedi, uzu INSPKETI regximon por ekzamenadi."
"HintMissingInner","Review page 2 of today's bulletin for full instructions.","Revizu pagxon 2 de hodiauxa bulteno por plenaj instrukcioj."
"IdCardInner","ARSTOTZKA IDENTITY CARD","ARSTOTZKIO ID-KARTO"
"IdCardInner","DOB","NAS"
"IdCardInner","HT.","ALT"
"IdCardInner","WT.","PZ."
"IdentityRecordInner","M.O.A. IDENTITY RECORD","M.D.E. IDENTECA REGISXTRO"
"IdentityRecordInner","NAME:","NOMO:"
"IdentityRecordInner","ALIAS:","KASXNOMO:"
"IdentityRecordInner","Applicant's fingerprints and claimed name/alias must match this record.","Fingropremajxoj kaj nomoj de petanto devas akordi kun cxi tiu registro."
"IdSupplementInner","IDENTITY<br>SUPPLEMENT","IDENTECO-<br>SUPLEMENTO"
"IdSupplementInner","HT","ALT"
"IdSupplementInner","WT","PZ"
"IdSupplementInner","DESCRIPTION","PRISKRIBO"
"IdSupplementInner","THUMB","POLEKSO"
"IdSupplementInner","Keep on person","Tenu sur vi mem"
"IdSupplementInner","EXP.","EKSV."
"LocketInnerOpen","To Sergiu from your Elisa","Al Sergiu de via<br>Eliza"
"LocketInnerOpen","I Love You Always","Cxiam vin amas"
"LoveSongInner1","YOU","VI"
"LoveSongInner1","YOU ARE HOT LIKE FIRE","VI VARMAS KIEL FAJRO"
"LoveSongInner2","you","vi"
"LoveSongInner2","OBJECT OF DESIRE","JEN MIA DEZIRO"
"LoveSongInner3","YOU<br>(AGAIN)","VI<br>(JA)"
"LoveSongInner3","WRAP MY HEART IN WIRE","DRATAS MIAN KORON"
"LoveSongInner4","ApPROVED","ApROBITA"
"LoveSongInner4","APPROVE MY VISA","APROBU MIAN VIZON"
"tweak-passport-field-padding-left","2px","2px"
"PassportInnerAntegria","ENTRY VISA","ENIRO-VIZO"
"PassportInnerAntegria","DOB.","NAS."
"PassportInnerAntegria","SEX","SEK"
"PassportInnerAntegria","ISS.","DIS."
"PassportInnerAntegria","EXP.","EKS."
"PassportInnerAntegria","ANTEGRIA","ANTEGRIO"
"tweak-passport-arstotzka-nation","16px","16px"
"PassportInnerArstotzka","ENTRY VISA","ENIRO-VIZO"
"PassportInnerArstotzka","DOB.","NAS."
"PassportInnerArstotzka","SEX","SEK"
"PassportInnerArstotzka","ISS.","DIS."
"PassportInnerArstotzka","EXP.","EKS."
"PassportInnerArstotzka","ARSTOTZKA","ARSTOTZKIO"
"PassportInnerImpor","ENTRY VISA","ENIRO-VIZO"
"PassportInnerImpor","DOB.","NAS."
"PassportInnerImpor","SEX","SEK"
"PassportInnerImpor","ISS.","DIS."
"PassportInnerImpor","EXP.","EKS."
"PassportInnerImpor","IMPOR","IMPORIO"
"PassportInnerKolechia","ENTRY VISA","ENIRO-VIZO"
"PassportInnerKolechia","DOB.","NAS."
"PassportInnerKolechia","SEX","SEK"
"PassportInnerKolechia","ISS.","DIS."
"PassportInnerKolechia","EXP.","EKS."
"PassportInnerKolechia","KOLECHIA","KOLEĤIO"
"PassportInnerObristan","ENTRY VISA","ENIRO-VIZO"
"PassportInnerObristan","DOB.","NAS."
"PassportInnerObristan","SEX","SEK"
"PassportInnerObristan","ISS.","DIS."
"PassportInnerObristan","EXP.","EKS."
"PassportInnerObristan","OBRISTAN","OBRISTIO"
"PassportInnerRepublia","ENTRY VISA","ENIRO-VIZO"
"PassportInnerRepublia","DOB.","NAS."
"PassportInnerRepublia","SEX","SEK"
"PassportInnerRepublia","ISS.","DIS."
"PassportInnerRepublia","EXP.","EKS."
"PassportInnerRepublia","REPUBLIA","RESPUBLIK."
"PassportInnerUnitedFed","ENTRY VISA","ENIRO-VIZO"
"PassportInnerUnitedFed","DOB.","NAS."
"PassportInnerUnitedFed","SEX","SEK"
"PassportInnerUnitedFed","ISS.","DIS."
"PassportInnerUnitedFed","EXP.","EKS."
"PassportInnerUnitedFed","UNITED FEDERATION","UNUIGXINTA FEDERACIO"
"PlaqueOneInner","Ministry of Admission","Ministrejo de Enlaso"
"PlaqueOneInner","RECOGNITION","APROBO"
"PlaqueOneInner","FOR","POR"
"PlaqueOneInner","HANG ON WALL","PENDIGU SUR MURO"
"PlaqueTwoInner","Ministry of Admission","Ministrejo de Enlaso"
"PlaqueTwoInner","RECOGNITION","APROBO"
"PlaqueTwoInner","FOR","POR"
"PlaqueTwoInner","HANG ON WALL","PENDIGU SUR MURO"
"PoisonInnerBack","OPEN","MALFERMI"
"PoisonInnerOpen1","DO NOT TOUCH POWDER","NE TUSXU PULVORON"
"PoisonInnerOpen1","CLOSE","FERMI"
"PoisonInnerOpen2","ALIGN POWDER OVER PASSPORT","LINIIGU<br>PULVORON SUPER PASPORTO"
"PoisonInnerOpen2","PUSH HARD TO AFFIX","PUSXU FORTE POR ALFIKSI"
"PoisonInnerOpen2","CLOSE","FERMI"
"PoliceBadgeInner","MINISTRY OF INFORMATION","MINISTREJO DE INFORMO"
"PoliceBadgeInner","Office of Investigation","Oficejo de Esploro"
"PoliceBadgeInner","East Grestin Division","Eosta Grestino Divisio"
"PoliceBadgeInner","Special Investigator","Speciala Esploristo"
"PoliceBadgeInner","MOI","MDI"
"PressPassInner","INTERNATIONAL","INTERNACIA"
"PressPassInner","PRESS","PRESS"
"PressPassInner","IDENTIFICATION","IDENTIGILO"
"RuleDiploAccess","AUTHORIZATION MUST GRANT ACCESS<br> TO ARSTOTZKA","LICENCO DEVAS APROBI ALIRO AL ARSTOTZKIO"
"RuleIssuingCity","PASSPORT <span>ISS.</span> FIELD MUST BE VALID","PASPORTO <span>DIS.</span> KAMPO DEVAS ESTI VALIDA"
"RuleSealRequired","DOCUMENT MUST<br>HAVE A SEAL","DOKUMENTO DEVAS<br>HAVI SIGELON"
"RulesInnerHome","Arstotzkan","Arstotzkia"
"RulesInnerHome","Ministry<span>of</span>Admission","Ministrejo<span>de</span>Enlaso"
"RulesInnerHome","RULES","REGULOJ"
"RulesInnerHome","&amp;","&amp;"
"RulesInnerHome","REGULATIONS","REGULADOJ"
"RulesInnerHome","for Inspectors","por Inspektistoj"
"RulesInnerHome","CONTENTS","ENHAVO"
"RulesInnerHome","PROPERTY OF","PROPRAJXO DE"
"RulesInnerHome","M.O.A","M.D.E"
"RulesInnerBasic","RULES","REGULOJ"
"RulesInnerRegion","DIPLOMATIC SEALS","DIPLOMATAJ SIGELOJ"
"RulesInnerRegion","PASSPORT","PASPORTO"
"RulesInnerRegion","ISSUING CITIES","ELDONANTAJ URBOJ"
"RulesInnerRegionArstotzka","DISTRICTS","DISTRIKTOJ"
"RulesInnerRegionArstotzka","PASSPORT","PASPORTO"
"RulesInnerRegionArstotzka","ISSUING CITIES","ELDONANTAJ URBOJ"
"RulesInnerBooth","INSPECTOR'S BOOTH","BUDO DE INSPEKTISTO"
"RulesInnerBooth","Shutter","Klapo"
"RulesInnerBooth","Counter","Tablo"
"RulesInnerBooth","Rule Book<br>Audio Trans.<br>Bulletin<br>Time &amp; Date","Regulolibro<br>Audio Trans.<br>Bulteno<br>Horo &amp; Dato"
"RulesInnerBooth","UPGRADES","PROMOCIOJ"
"RulesInnerBooth","NO UPGRADES<br>INSTALLED","NENIU PROMOCIO<br>INSTALITA"
"RulesInnerDocs","OFFICIALLY RECOGNIZED","OFICIALE APROBITAJ"
"RulesInnerDocs","DOCUMENTS","DOKUMENTOJ"
"RulesInnerDocs","CONTENTS","ENHAVO"
"RulesInnerEntryPermit","ENTRY PERMIT","ENIRO-PERMESILO"
"RulesInnerEntryPermit","VALID SEALS","VALIDAJ SIGELOJ"
"RulesInnerIdCard","ARSTOTZKAN<br>ID CARD","ARSTOTZKIA<br>ID-KARTO"
"RulesInnerIdCard","ISSUED TO ALL ARSTOTZKAN CITIZENS","DISDONITA AL CXIUJ ARSTOTZKIANOJ"
"RulesInnerIdCard","DISTRICTS","DISTRIKTOJ"
"RulesInnerIdSupplement","IDENTITY<br>SUPPLEMENT","IDENTECO-<br>SUPLEMENTO"
"RulesInnerIdSupplement","ISSUED TO ALL QUALIFIED FOREIGNERS","DISDONITA AL CXIUJ TAUXGAJ FREMDULOJ"
"RulesInnerIdSupplement","FOR VERIFICATION OF FOREIGNER'S PHYSICAL APPEARANCE","POR KONTROLO DE FIZIKA ASPEKTO DE FREMDULO"
"RulesInnerIdSupplement","VERIFY THUMBPRINT ONLY WHEN FINGERPRINT RECORD IS AVAILABLE","KONTROLU POLEKSOPREMAJXON NUR KIAM FINGROPREMAJXAN REGISTRO HAVEBLAS"
"RulesInnerIdSupplement","THIS IS A SHORT-ISSUE DOCUMENT - VERIFY EXPIRATION CAREFULLY","TIU DOKUMENTO MALLONGATEMPE VALIDAS - ZORGE KONTROLU EKSVALIDIGXON"
"RulesInnerAccessPermit","ACCESS PERMIT","ALIRO-PERMESILO"
"RulesInnerAccessPermit","VALID SEALS","VALIDAJ SIGELOJ"
"RulesInnerAccessPermit","THIS DOCUMENT REPLACES ENTRY PERMIT AND IDENTITY SUPPLEMENT","CXI TIU DOKUMENTO ANSTATAUXAS ELIRO-PERMESILON KAJ IDENTECO-SUPLEMENTON"
"RulesInnerWorkPermit","WORK PASS","LABOR-PASILO"
"RulesInnerWorkPermit","ISSUED TO ALL QUALIFIED FOREIGN LABOR","DISDONITA AL CXIUJ TAUXGAJ FREMDAJ LABORISTOJ"
"RulesInnerWorkPermit","VALID SEALS","VALIDAJ SIGELOJ"
"RulesInnerDiplomaticAuth","DIPLOMATIC","DIPLOMATA"
"RulesInnerDiplomaticAuth","AUTHORIZATION","APROBO"
"RulesInnerDiplomaticAuth","VALIDATE SEAL WITH COUNTRY PAGE","KONTROLU SIGELON KAJ TIUN SUR LANDPAGXO"
"RulesInnerAsylumGrant","GRANT OF<br>ASYLUM","APROBO DE<br>AZILO"
"RulesInnerAsylumGrant","VALID SEALS","VALIDAJ SEGILOJ"
"RulesInnerAsylumGrant","ALWAYS VERIFY FINGERPRINTS","CXIAM KONTROL FINGROPREMAJXOJN"
"RulesInnerVaccineCert","VACCINE CERTIFICATE","ATESTO DE VAKCINADO"
"RulesInnerVaccineCert","MINISTRY","MINISTREJO"
"RulesInnerVaccineCert","OF","DE"
"RulesInnerVaccineCert","HEALTH","SANO"
"RulesInnerVaccineCert","REGULATION DOCUMENT","DOKUMENTO DE REGULADO"
"RulesInnerVaccineCert","POLIO VACCINATION REQUIRED FOR ALL ENTRANTS","CXIUJ ENIRULOJ<br>DEVAS HAVI POLIO-VAKCINADON"
"RulesInnerVaccineCert","NO EXCEPTIONS","NENIAJ ESCEPTOJ"
"RulesInnerConfiscation","PASSPORT CONFISCATION","PASPORTO KONFISKADO"
"RulesInnerConfiscation","DROP PASSPORT IN CONFISCATION DRAWER","DEMETU PASPORTON EN KONFISKAN TIRKESTON"
"RulesInnerConfiscation","POLICY","POLITIKO"
"RulesInnerConfiscation","PASSPORT MUST BE CONFISCATED BEFORE DETAINING","ONI DEVAS KONFISKI PASPORTON ANTAUX OL MALLIBERIGANTE"
"RulesInnerConfiscation","MOI","MDI"
"RulesInnerLast","PROPERTY OF","PROPRAJXO DE"
"RulesInnerLast","M.O.A.","M.D.E."
"RulesInnerLast","GLORY TO ARSTOTZKA","GLORO AL ARSTOTZKIO"
"RulesInnerLast","Arstotzkan","Arstotzkia"
"RulesInnerLast","Ministry of Admission","Ministrejo de Enlaso"
"RulesInnerLast","Rules &amp; Regulations","Reguloj &amp; Reguladoj"
"RulesInnerLast","for Inspectors","por Inspektistoj"
"RulesInnerLast","1982-1983 Edition","1982-1983 Eldono"
"RulesInnerLast","DO NOT DISTRIBUTE UNDER SEVERE<br>PENALTY","NE DISTRIBUU SUB SEVERA PUNO"
"RulesTabConfL","CONF.","CONF."
"RulesTabConfR","CONF.","CONF."
"RulesTabDocsL","DOCS","DOKOJ"
"RulesTabDocsR","DOCS","DOKOJ"
"RulesTabMapL","MAP","MAPO"
"RulesTabMapR","MAP","MAPO"
"RulesTabRulesL","RULES","REGUL."
"RulesTabRulesR","RULES","REGUL."
"RulesUpgrade0","TOGGLE INSPECT","BASKULIGI INSPEKTO"
"RulesUpgrade0","SPACE","SPACE"
"RulesUpgrade1","TOGGLE STAMP BAR","BASKULIGI STAMPILON"
"RulesUpgrade1","TAB","TAB"
"RulesUpgrade2","RULEBOOK SHORTCUTS","REGULOLIBRAJ FULMOJ"
"RulesUpgrade3","QUICK INSPECT","RAPIDE INSPEKTI"
"RulesUpgrade3","DOUBLE-CLICK","DUOBLA-KLAKI"
"SeizureSlipInner","Arstotzka Ministry of Admission","Arstotzkio Ministrejo de Enlaso"
"SeizureSlipInner","PASSPORT SEIZURE SLIP","PASPORTA KONFISKO-SLIPO"
"SeizureSlipInner","ENTRY VISA","ENIRO-VIZO"
"SeizureSlipInner","Your passport has been seized.","Oni konfiskis vian pasporton."
"SeizureSlipInner","Contact 1509-6103 for redress.","Kontaktu 1509-6103 por rebonigo."
"SpyDocsInnerBack","Mating Habits of Lesser Kolechian Waterfowl","Sekskunigxaj Kutimoj de Malpliaj Kolehxiaj Akvobirdoj"
"SpyDocsInnerBack","A FULL REPORT","PLENA RAPORTO"
"SpyDocsInnerBack","Ministry of Information","Minstrejo de Informo"
"TranscriptInner","AUDIO TRANSCRIPT","AUXDTRANSSKRIBO"
"VaccineCertInner","Certificate<span>of</span>Vaccination","Atesto<span>de</span>Vakcinado"
"VaccineCertInner","ID#","ID#"
"VaccineCertInner","DATE","DATO"
"VaccineCertInner","VACCINE","VAKCINO"
"VaccineCertInner","Vax valid for 3 years","Valida gxis 3 jarojn"
"VisaSlipInner","TEMPORARY VISA SLIP","PROVIZORA VIZO-SLIPO"
"VisaSlipInner","ENTRY VISA","ENIRO-VIZO"
"VisaSlipInner","TO BE USED FOR DENIALS ONLY","UZEBLA NUR POR MALAPROBO"
"WorkPermitInner","Ministry of Labor","Ministrejo de Laboro"
"WorkPermitInner","Work Pass","Labor-Pasilo"
"WorkPermitInner","This pass grants its holder the right to work in a specific field for a limited time.","Cxi tui pasilo donas al gxia tenato rajton labori provizore en specifa kampo."
"WorkPermitInner","HOLDER","TENANTO"
"WorkPermitInner","FIELD","KAMPO"
"WorkPermitInner","UNTIL","GXIS"
"WorkPermitInner","Keep this pass with you at all times.","Tenu cxi tion sur vi mem cxiam."
"EndNews","Kolechian Consensus Reached Over Grestin","Kolehxian Konsenton Pri Grestino Atingis"
"ApartmentClass","CLASS","KLASO"
"DetainButton","DETAIN","ENFERMI"
"FingerprintButton","FINGERPRINT","FINGROPREMI"
"SearchButton","SEARCH","SERCXI"
"EmblemsMOA","M.O.A","M.D.E"
"EmblemsMOA","M.O.L","M.D.L"
"EmblemsMOL","M.O.L","M.D.L"
"Filer","CONFISCATED DOCUMENTS","KONFISKITAJ DOKUMENTOJ"
"Filer","PROPERTY OF","PROPRAJXO DE"
"Filer","M.O.A.","M.D.E."
"GiveIcon","GIVE","DONI"
"LoadButtonNew","NEW","NOVA"
"LoadDay","DAY","TAGO"
"LoadDrag","DRAG TO SCROLL","TRENI POR RULUMI"
"News","The Truth of Arstotzka","La Vero de Arstotzkio"
"News","No Charge","Senpaga"
"ReasonButton","REASON","KIALO"
"RifleKill","KILL","MORTIGI"
"RifleTranq","TRANQ","TRANK"
"StampBarMid","ALIGN VISA BENEATH STAMP","LINIIGU VIZON SUB STAMPILO"
"Upgrades","SPACE","SPACO"
"Upgrades","TAB","TAB"
"image:ArskickersInner.png","capture/ArskickersInner.png","capture/ArskickersInner.png"
"ArskickersInner","HANG ON WALL","PENDIGU SUR MURO"
"image:BrothelFlyerInner.png","capture/BrothelFlyerInner.png","capture/BrothelFlyerInner.png"
"BrothelFlyerInner","East Grestin","Eosta Grestino"
"BrothelFlyerInner","FOR ALL YOUR FANTASIES","POR CXIUJ VIAJ FANTAZIOJ"
"image:PezpertInner.png","capture/PezpertInner.png","capture/PezpertInner.png"
"PezpertInner","STAMP HERE","STAMPU TIE"
"image:SonDrawingInner.png","capture/SonDrawingInner.png","capture/SonDrawingInner.png"
"SonDrawingInner","hanG on wAll","peniG sur mUron"
"image:SonDrawingOuter.png","capture/SonDrawingOuter.png","capture/SonDrawingOuter.png"
"image:SonDrawingMount.png","capture/SonDrawingMount.png","capture/SonDrawingMount.png"
"image:VictimPhotoInnerBack.png","capture/VictimPhotoInnerBack.png","capture/VictimPhotoInnerBack.png"
"image:Emotions.png","export/Emotions.png","export/Emotions.png"
"image:LoadButtonLatest.png","export/LoadButtonLatest.png","export/LoadButtonLatest.png"
"image:InkApproved.png","export/InkApproved.png","export/InkApproved.png"
"image:InkDenied.png","export/InkDenied.png","export/InkDenied.png"
"image:StampBotApproved.png","export/StampBotApproved.png","export/StampBotApproved.png"
"image:StampBotDenied.png","export/StampBotDenied.png","export/StampBotDenied.png"
"image:ReasonStampTop.png","export/ReasonStampTop.png","export/ReasonStampTop.png"
"image:InkReason.png","export/InkReason.png","export/InkReason.png"
"image:Arstotzka.png","export/Arstotzka.png","export/Arstotzka.png"
"image:Intro1.png","export/Intro1.png","export/Intro1.png"
"image:Obrinspector.png","export/Obrinspector.png","export/Obrinspector.png"
"image:Shutter.png","export/Shutter.png","export/Shutter.png"
"news:RANDOM_WEATHER","The Weather","La Vetero"
"news:RANDOM_SPORTS","Sports","Sportoj"
"news:RANDOM_ENTERTAINMENT","Entertainment","Distrajxoj"
"news:RANDOM_POLITICS","Politics","Politikoj"
"news:FIRST_DAY","Grestin Border Checkpoint Opens At Last!","Grestino Landlimo Kontrolpunkto Finfine Malfermas!"
"news:FIRST_DAY","After 6 Long Years. Can the Ministry of Admission Keep Us Safe?","Poste 6 Longajn Jarojn. Cxu la Ministrejo de Enlaso Povas Sekurigi Nin?"
"news:FIRST_DAY","Families To Reunite","Familioj Reununigxos"
"news:CHECKPOINT_SUCCESS","Grestin Checkpoint a Success!","Grestino Kontrolpunkto Sukcesas!"
"news:CHECKPOINT_SUCCESS","Entry Restrictions To Relax, Admit Foreigners","Enirajn Restriktojn Malstrecxos, Akceptos Fremdulojn"
"news:CHECKPOINT_SUCCESS","Analysts Upbeat","Analizistoj Plenesperas"
"news:CHECKPOINT_SUCCESS","Increased Trade And Cooperation Predicted","Plian Komercon Kaj Kunlabron Antauxdiris"
"news:FIRST_TERRORISTS","Terrorists Strike At Grestin!","Teroristoj Atakis Grestinon!"
"news:FIRST_TERRORISTS","Kolechian Agitators Suspected.","Oni suspektas Kolehxiajn Agitistojn."
"news:FIRST_TERRORISTS","Checkpoint Lockdown","Kontrolpunkto Plisekurecigxo"
"news:FIRST_TERRORISTS","More Guards - More Scrutiny","Pli da Gardistoj - Pli de Skrutinio"
"news:BLACKMARKET_EXPLODES","Blackmarket Activity Explodes","Nigra Merkato Agado Ekflamas"
"news:BLACKMARKET_EXPLODES","Government Blames Lax Immigration Controls","Estraro Kulpigas Malstriktan Eniran Kontroladon"
"news:BLACKMARKET_EXPLODES","Checkpoint Expansion Postponed","Kontrolpunktan Ekspansion Prokrastis"
"news:WORKPERMIT_FIRST","Jobs Few, Becoming Fewer","Laboroj Malmultas, Igxante Malpli"
